section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,432,1690310043508272117,1690310044004300117,496
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,433,1690310048752283117,1690310049172293117,420
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,434,1690310050024265117,1690310050432279117,408
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,435,1690310053356331117,1690310053788274117,431
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,436,1690310054604310117,1690310055040315117,436
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,437,1690310056012278117,1690310056448336117,436
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,438,1690310057396292117,1690310057824458117,428
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,439,1690310058088270117,1690310058516303117,428
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,440,1690310059116300117,1690310059540333117,424
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,441,1690310060268295117,1690310060712255117,443
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,442,1690310061424310117,1690310061884297117,459
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,443,1690310063100333117,1690310063520269117,419
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,444,1690310063872299117,1690310064328252117,455
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,445,1690310064844277117,1690310065252293117,408
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,446,1690310067144257117,1690310067596306117,452
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,447,1690310070100306117,1690310070536269117,435
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,448,1690310073500304117,1690310073916225117,415
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,449,1690310077540369117,1690310077948293117,407
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,450,1690310080376275117,1690310080804325117,428
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,451,1690310083904240117,1690310084332282117,428
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,452,1690310087012428117,1690310087376266117,363
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,453,1690310089308289117,1690310089736288117,427
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,454,1690310090972283117,1690310091356527117,384
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,455,1690310092268300117,1690310092672301117,404
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,456,1690310093676275117,1690310094080336117,404
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,457,1690310096284321117,1690310096684275117,399
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,458,1690310098532307117,1690310098984373117,452
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,459,1690310100028276117,1690310100488380117,460
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,460,1690310101856312117,1690310102296280117,439
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,461,1690310103416278117,1690310103884236117,467
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,462,1690310104656276117,1690310105116347117,460
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,463,1690310105612269117,1690310106068269117,456
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,464,1690310107248226117,1690310107652278117,404
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,465,1690310109232252117,1690310109636440117,404
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,466,1690310110388330117,1690310110852293117,463
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,467,1690310111508260117,1690310111988455117,480
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,468,1690310112336279117,1690310112832347117,496
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,469,1690310115560296117,1690310115988265117,427
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,470,1690310116844286117,1690310117296387117,452
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,471,1690310119292358117,1690310119768297117,475
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,472,1690310122664306117,1690310123092307117,428
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,473,1690310124872284117,1690310125336302117,464
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,474,1690310125952260117,1690310126436301117,484
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,475,1690310132364273117,1690310132836295117,472
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,476,1690310136200303117,1690310136680277117,479
1a576925-8021-4e33-98e8-949c9a4af880,0bca85a6-6364-47a8-90fb-1b3a125721a5,477,1690310147420277117,1690310147772296117,352
